Region,Arica y Parinacota,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Metropolitana,O’Higgins,Maule,Ñuble,Biobío,Araucanía,Los Ríos,Los Lagos,Aysén,Magallanes
January,0,6,0,0,0,1,57,5,5,0,1,5,0,7,0,0
February,3,3,6,0,2,3,85,0,7,5,9,2,0,0,2,0
March,4,15,1,0,0,5,225,0,31,9,8,12,5,19,3,7
April,75,50,19,9,2,17,198,2,53,18,48,18,28,52,10,1
May,74,28,13,29,5,11,113,37,33,14,23,18,26,30,22,1
