Region,Arica y Parinacota,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Metropolitana,O’Higgins,Maule,Ñuble,Biobío,Araucanía,Los Ríos,Los Lagos,Aysén,Magallanes
January,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
February,0,0,0,0,1,0,6,0,0,1,0,0,0,0,0,0
March,1,0,0,0,0,0,31,0,0,2,0,0,1,0,0,1
April,0,5,2,1,0,0,33,0,1,1,2,0,15,3,0,0
May,1,2,1,1,1,0,6,1,1,0,1,3,3,0,1,0
