Grupo de edad,Laboratorio,Fecha inmunización,1° Dosis,2° Dosis
>=70,Campaña SARS-CoV-2 (Sinovac),2021-04-16,502,464.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-04-17,47,44.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-04-18,3,3.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-04-19,998,940.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-04-20,1007,931.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-04-21,793,731.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-04-22,901,850.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-04-23,798,733.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-04-24,133,119.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-04-25,8,7.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-04-26,501,465.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-04-27,302,267.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-04-28,288,250.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-04-29,305,266.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-04-30,398,368.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-05-01,13,9.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-05-02,9,8.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-05-03,618,557.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-05-04,621,556.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-05-05,726,663.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-05-06,746,646.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-05-07,740,651.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-05-08,125,100.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-05-09,4,4.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-05-10,875,741.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-05-11,907,763.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-05-12,819,629.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-05-13,740,483.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-05-14,732,60.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-05-15,9,0.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-05-16,2,0.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-05-17,561,1.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-05-18,400,0.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-05-19,383,0.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-05-20,460,0.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-05-21,9,0.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-05-22,93,1.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-05-23,15,0.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-05-24,1141,1.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-05-25,1141,0.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-05-26,1373,0.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-05-27,1371,0.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-05-28,1431,0.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-05-29,289,0.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-05-30,49,0.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-05-31,1056,0.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-06-01,315,0.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-06-02,371,0.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-06-03,493,0.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-06-04,517,0.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-06-05,163,0.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-06-06,19,0.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-06-07,1321,0.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-06-08,1361,0.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-06-09,1388,0.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-06-10,1108,0.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-06-11,54,0.0
>=70,Campaña SARS-CoV-2 (Sinovac),2021-06-12,9,0.0
