,end_date,Grupo de edad,f_no_variant,f_variants,mse 2021,mse 2020
0,2021-03-25,40-49,0.45872434037278587,0.49799936031479264,0.7535812425418678,0.7543554443957773
1,2021-03-12,50-59,0.465697038807758,0.5781379789945217,2.575434152421003,2.576875040998956
2,2021-02-18,60-69,0.7527689629806722,9.999999999508331,9.236206348460259,9.23622907318369
3,2021-05-14,<=39,0.38213996571450176,0.13887938676262288,0.28708349170950515,1.7992092732878542
4,2021-02-09,>=70,2.3616257367444273,5.0,129.19579007585412,129.19579007585412
