,2021-01-11,2021-01-25,2021-02-08,2021-02-22,2021-03-08,2021-03-22,2021-04-05,2021-04-19,2021-05-03,2021-05-17,2021-05-31,2021-06-14,2021-06-28,2021-07-12,2021-07-26,2021-08-09,2021-08-23,2021-09-06,2021-09-20,2021-10-04,2021-10-18,2021-11-01,2021-11-15,2021-11-29,2021-12-13,2021-12-27,2022-01-10,2022-01-24,2022-02-07,2022-02-21,2022-03-07,2022-03-21,2022-04-04,2022-04-18,2022-05-02,2022-05-16,2022-05-30,2022-06-13,2022-06-27
Argentina,0.00047584237893604403,0.0005745907146140518,0.0006548632526462429,0.0006447680007502755,0.001685130285535965,0.001204974241983198,0.001004918109156734,0.0009959999357419397,0.0011257308973399642,0.0007236895170324697,0.001111767737687577,0.001405408867240453,0.0014833066200798514,0.0017365742674928398,0.0028209890875319247,0.003828217442750748,0.006416944162581641,0.008608523849844764,0.012142787476836048,0.02996956216342777,0.041830708661417325,0.042928845586064364,0.03506230078238192,0.02205767488361921,0.01055253132782738,0.0009109052399970851,0.00033769588294584236,0.0007328041927948712,0.0010184113624408207,0.0013382463473207574,0.001166533147812399,0.0011087471157591922,0.0023738572655184606,0.0023296703296703295,0.0023627384525999806,0.0017005196032120926,0.0014116625040721034,9.938821034962563e-05,1.6949439821013915e-05
Brazil,0.0012820582100359895,0.0015206929172843255,0.0019756685715171863,0.0021489568897711526,0.002186951089590358,0.0029636271063355896,0.003924763033175355,0.004838071818324058,0.0038522925545607964,0.004832845715215946,0.005929097049314871,0.004562952378861746,0.008456618519022532,0.009123637043067437,0.011155582406148785,0.011393557716747814,0.01800907499553766,0.025638282221716976,0.02104594351817365,0.02855655873102075,0.022267767797938393,0.03248960319129449,0.031148909950301194,0.027915753253600465,0.051681195516811954,0.028085073640252242,0.005810301713455484,0.0031147747546743693,0.0033066532039782723,0.00379915190047057,0.003934359673071398,0.002468689293121919,0.0052675187024932655,0.003383181180992763,0.011056432269732483,0.0075568745309948756,0.004718986818627977,0.0011124825843500188,
Chile,0.000681973175721755,0.0006631802334394421,0.001156093664606718,0.0009942299156679981,0.001391916379966909,0.002393353436096409,0.0033185953662197626,0.005336303102016195,0.006836092452530809,0.004936289976802735,0.006183941959865004,0.009301996318844683,0.021820433436532508,0.02742061846168026,0.0518116452840829,0.07433272744666602,0.11642611683848797,0.16635308874255253,0.1928172561042374,0.08891716143624541,0.05020989381842127,0.03054989816700611,0.01682203261166611,0.01914611735544254,0.07421606775005722,0.04208251877765202,0.005288475683309306,0.0011637634091132762,0.0011072903915971047,0.0015219571241240587,0.0029188872048110303,0.004675740592473979,0.013736956771012498,0.013134794199882957,0.010762593807576507,0.009439232093389118,0.0068865959863688,0.005491113727066525,0.000952129489610587
