Region,Dosis,edad,accumulated_vaccinated,start_date
Metropolitana,Primera,53,66126.0,2021-04-06
Metropolitana,Primera,54,68436.0,2021-04-06
Metropolitana,Primera,55,71117.0,2021-04-06
Metropolitana,Primera,56,72854.0,2021-04-06
Metropolitana,Primera,57,73212.0,2021-04-06
Metropolitana,Primera,58,74771.0,2021-04-06
Metropolitana,Primera,59,71528.0,2021-04-06
Metropolitana,Primera,60,72236.0,2021-04-06
Metropolitana,Primera,61,67413.0,2021-04-06
Metropolitana,Primera,62,65623.0,2021-04-06
Metropolitana,Primera,63,64506.0,2021-04-06
Metropolitana,Primera,64,61274.0,2021-04-06
Metropolitana,Primera,65,57948.0,2021-04-06
Metropolitana,Primera,66,52241.0,2021-04-06
Metropolitana,Primera,67,52036.0,2021-04-06
Metropolitana,Primera,68,47608.0,2021-04-06
Metropolitana,Primera,69,44786.0,2021-04-06
Metropolitana,Primera,70,42481.0,2021-04-06
Metropolitana,Primera,71,41579.0,2021-04-06
Metropolitana,Primera,72,40035.0,2021-04-06
Metropolitana,Primera,73,37880.0,2021-04-06
Metropolitana,Primera,74,36055.0,2021-04-06
Metropolitana,Primera,75,33502.0,2021-04-06
Metropolitana,Primera,76,32057.0,2021-04-06
Metropolitana,Primera,77,29177.0,2021-04-06
Metropolitana,Primera,78,27417.0,2021-04-06
Metropolitana,Primera,79,24968.0,2021-04-06
Metropolitana,Primera,80,180939.0,2021-04-06
Metropolitana,Segunda,15,1.0,2021-04-06
Metropolitana,Segunda,16,85.0,2021-04-06
Metropolitana,Segunda,17,166.0,2021-04-06
Metropolitana,Segunda,18,1527.0,2021-04-06
Metropolitana,Segunda,19,2382.0,2021-04-06
Metropolitana,Segunda,20,3574.0,2021-04-06
Metropolitana,Segunda,21,5079.0,2021-04-06
Metropolitana,Segunda,22,7016.0,2021-04-06
Metropolitana,Segunda,23,9333.0,2021-04-06
Metropolitana,Segunda,24,11423.0,2021-04-06
Metropolitana,Segunda,25,13738.0,2021-04-06
Metropolitana,Segunda,26,15571.0,2021-04-06
Metropolitana,Segunda,27,16505.0,2021-04-06
Metropolitana,Segunda,28,17553.0,2021-04-06
Metropolitana,Segunda,29,18149.0,2021-04-06
Metropolitana,Segunda,30,18892.0,2021-04-06
Metropolitana,Segunda,31,19548.0,2021-04-06
Metropolitana,Segunda,32,18927.0,2021-04-06
Metropolitana,Segunda,33,17867.0,2021-04-06
Metropolitana,Segunda,34,17561.0,2021-04-06
Metropolitana,Segunda,35,16672.0,2021-04-06
Metropolitana,Segunda,36,16175.0,2021-04-06
Metropolitana,Segunda,37,15421.0,2021-04-06
Metropolitana,Segunda,38,15892.0,2021-04-06
Metropolitana,Segunda,39,15862.0,2021-04-06
Metropolitana,Segunda,40,14967.0,2021-04-06
Metropolitana,Segunda,41,14212.0,2021-04-06
Metropolitana,Segunda,42,13307.0,2021-04-06
Metropolitana,Segunda,43,12821.0,2021-04-06
Metropolitana,Segunda,44,12767.0,2021-04-06
Metropolitana,Segunda,45,12891.0,2021-04-06
Metropolitana,Segunda,46,13426.0,2021-04-06
Metropolitana,Segunda,47,13022.0,2021-04-06
Metropolitana,Segunda,48,13071.0,2021-04-06
Metropolitana,Segunda,49,12681.0,2021-04-06
Metropolitana,Segunda,50,11997.0,2021-04-06
Metropolitana,Segunda,51,11716.0,2021-04-06
Metropolitana,Segunda,52,11910.0,2021-04-06
Metropolitana,Segunda,53,11965.0,2021-04-06
Metropolitana,Segunda,54,12436.0,2021-04-06
Metropolitana,Segunda,55,13394.0,2021-04-06
Metropolitana,Segunda,56,22824.0,2021-04-06
Metropolitana,Segunda,57,24113.0,2021-04-06
Metropolitana,Segunda,58,27868.0,2021-04-06
Metropolitana,Segunda,59,29129.0,2021-04-06
Metropolitana,Segunda,60,53782.0,2021-04-06
Metropolitana,Segunda,61,53936.0,2021-04-06
Metropolitana,Segunda,62,54695.0,2021-04-06
Metropolitana,Segunda,63,54811.0,2021-04-06
Metropolitana,Segunda,64,52955.0,2021-04-06
Metropolitana,Segunda,65,52791.0,2021-04-06
Metropolitana,Segunda,66,48135.0,2021-04-06
Metropolitana,Segunda,67,48383.0,2021-04-06
Metropolitana,Segunda,68,44409.0,2021-04-06
Metropolitana,Segunda,69,41862.0,2021-04-06
Metropolitana,Segunda,70,39878.0,2021-04-06
Metropolitana,Segunda,71,39296.0,2021-04-06
Metropolitana,Segunda,72,37934.0,2021-04-06
Metropolitana,Segunda,73,35969.0,2021-04-06
Metropolitana,Segunda,74,34194.0,2021-04-06
Metropolitana,Segunda,75,31891.0,2021-04-06
Metropolitana,Segunda,76,30389.0,2021-04-06
Metropolitana,Segunda,77,27685.0,2021-04-06
Metropolitana,Segunda,78,26057.0,2021-04-06
Metropolitana,Segunda,79,23699.0,2021-04-06
Metropolitana,Segunda,80,170995.0,2021-04-06
Aysén,Primera,15,1.0,2021-04-06
Aysén,Primera,16,41.0,2021-04-06
Aysén,Primera,17,47.0,2021-04-06
Aysén,Primera,18,185.0,2021-04-06
Aysén,Primera,19,290.0,2021-04-06
Aysén,Primera,20,208.0,2021-04-06
Aysén,Primera,21,237.0,2021-04-06
Aysén,Primera,22,263.0,2021-04-06
Aysén,Primera,23,315.0,2021-04-06
Aysén,Primera,24,377.0,2021-04-06
Aysén,Primera,25,500.0,2021-04-06
Aysén,Primera,26,505.0,2021-04-06
Aysén,Primera,27,592.0,2021-04-06
Aysén,Primera,28,607.0,2021-04-06
Aysén,Primera,29,686.0,2021-04-06
Aysén,Primera,30,755.0,2021-04-06
Aysén,Primera,31,744.0,2021-04-06
Aysén,Primera,32,793.0,2021-04-06
Aysén,Primera,33,697.0,2021-04-06
Aysén,Primera,34,703.0,2021-04-06
Aysén,Primera,35,710.0,2021-04-06
Aysén,Primera,36,708.0,2021-04-06
Aysén,Primera,37,680.0,2021-04-06
Aysén,Primera,38,684.0,2021-04-06
Aysén,Primera,39,649.0,2021-04-06
Aysén,Primera,40,704.0,2021-04-06
Aysén,Primera,41,639.0,2021-04-06
Aysén,Primera,42,646.0,2021-04-06
Aysén,Primera,43,660.0,2021-04-06
Aysén,Primera,44,601.0,2021-04-06
Aysén,Primera,45,661.0,2021-04-06
Aysén,Primera,46,605.0,2021-04-06
Aysén,Primera,47,642.0,2021-04-06
Aysén,Primera,48,602.0,2021-04-06
Aysén,Primera,49,638.0,2021-04-06
Aysén,Primera,50,616.0,2021-04-06
Aysén,Primera,51,728.0,2021-04-06
Aysén,Primera,52,739.0,2021-04-06
Aysén,Primera,53,775.0,2021-04-06
Aysén,Primera,54,839.0,2021-04-06
Aysén,Primera,55,816.0,2021-04-06
Aysén,Primera,56,795.0,2021-04-06
Aysén,Primera,57,812.0,2021-04-06
Aysén,Primera,58,801.0,2021-04-06
Aysén,Primera,59,853.0,2021-04-06
Aysén,Primera,60,889.0,2021-04-06
Aysén,Primera,61,876.0,2021-04-06
Aysén,Primera,62,806.0,2021-04-06
Aysén,Primera,63,823.0,2021-04-06
Aysén,Primera,64,848.0,2021-04-06
Aysén,Primera,65,807.0,2021-04-06
Aysén,Primera,66,742.0,2021-04-06
Aysén,Primera,67,681.0,2021-04-06
Aysén,Primera,68,700.0,2021-04-06
Aysén,Primera,69,612.0,2021-04-06
Aysén,Primera,70,571.0,2021-04-06
Aysén,Primera,71,517.0,2021-04-06
Aysén,Primera,72,449.0,2021-04-06
Aysén,Primera,73,460.0,2021-04-06
Aysén,Primera,74,423.0,2021-04-06
Aysén,Primera,75,398.0,2021-04-06
Aysén,Primera,76,358.0,2021-04-06
Aysén,Primera,77,339.0,2021-04-06
Aysén,Primera,78,329.0,2021-04-06
Aysén,Primera,79,285.0,2021-04-06
Aysén,Primera,80,1992.0,2021-04-06
Aysén,Segunda,15,0.0,2021-04-06
Aysén,Segunda,16,4.0,2021-04-06
Aysén,Segunda,17,6.0,2021-04-06
Aysén,Segunda,18,68.0,2021-04-06
Aysén,Segunda,19,169.0,2021-04-06
Aysén,Segunda,20,92.0,2021-04-06
Aysén,Segunda,21,104.0,2021-04-06
Aysén,Segunda,22,133.0,2021-04-06
Aysén,Segunda,23,179.0,2021-04-06
Aysén,Segunda,24,222.0,2021-04-06
Aysén,Segunda,25,311.0,2021-04-06
Aysén,Segunda,26,351.0,2021-04-06
Aysén,Segunda,27,407.0,2021-04-06
Aysén,Segunda,28,413.0,2021-04-06
Aysén,Segunda,29,456.0,2021-04-06
Aysén,Segunda,30,519.0,2021-04-06
Aysén,Segunda,31,515.0,2021-04-06
Aysén,Segunda,32,547.0,2021-04-06
Aysén,Segunda,33,497.0,2021-04-06
Aysén,Segunda,34,463.0,2021-04-06
Aysén,Segunda,35,478.0,2021-04-06
Aysén,Segunda,36,496.0,2021-04-06
Aysén,Segunda,37,459.0,2021-04-06
Aysén,Segunda,38,453.0,2021-04-06
Aysén,Segunda,39,429.0,2021-04-06
Aysén,Segunda,40,462.0,2021-04-06
Aysén,Segunda,41,427.0,2021-04-06
Aysén,Segunda,42,410.0,2021-04-06
Aysén,Segunda,43,387.0,2021-04-06
Aysén,Segunda,44,383.0,2021-04-06
Aysén,Segunda,45,394.0,2021-04-06
Aysén,Segunda,46,349.0,2021-04-06
Aysén,Segunda,47,391.0,2021-04-06
Aysén,Segunda,48,347.0,2021-04-06
Aysén,Segunda,49,353.0,2021-04-06
Aysén,Segunda,50,325.0,2021-04-06
Aysén,Segunda,51,323.0,2021-04-06
Aysén,Segunda,52,290.0,2021-04-06
Aysén,Segunda,53,270.0,2021-04-06
Aysén,Segunda,54,316.0,2021-04-06
Aysén,Segunda,55,279.0,2021-04-06
Aysén,Segunda,56,338.0,2021-04-06
Aysén,Segunda,57,327.0,2021-04-06
Aysén,Segunda,58,355.0,2021-04-06
Aysén,Segunda,59,428.0,2021-04-06
Aysén,Segunda,60,691.0,2021-04-06
Aysén,Segunda,61,679.0,2021-04-06
Aysén,Segunda,62,654.0,2021-04-06
Aysén,Segunda,63,692.0,2021-04-06
Aysén,Segunda,64,712.0,2021-04-06
Aysén,Segunda,65,715.0,2021-04-06
Aysén,Segunda,66,665.0,2021-04-06
Aysén,Segunda,67,626.0,2021-04-06
Aysén,Segunda,68,642.0,2021-04-06
Aysén,Segunda,69,566.0,2021-04-06
Aysén,Segunda,70,514.0,2021-04-06
Aysén,Segunda,71,466.0,2021-04-06
Aysén,Segunda,72,414.0,2021-04-06
Aysén,Segunda,73,420.0,2021-04-06
Aysén,Segunda,74,382.0,2021-04-06
Aysén,Segunda,75,365.0,2021-04-06
Aysén,Segunda,76,326.0,2021-04-06
Aysén,Segunda,77,312.0,2021-04-06
Aysén,Segunda,78,302.0,2021-04-06
Aysén,Segunda,79,265.0,2021-04-06
Aysén,Segunda,80,1817.0,2021-04-06
Antofagasta,Primera,15,1.0,2021-04-06
Antofagasta,Primera,16,325.0,2021-04-06
Antofagasta,Primera,17,413.0,2021-04-06
Antofagasta,Primera,18,805.0,2021-04-06
Antofagasta,Primera,19,1146.0,2021-04-06
Antofagasta,Primera,20,1525.0,2021-04-06
Antofagasta,Primera,21,1829.0,2021-04-06
Antofagasta,Primera,22,2007.0,2021-04-06
Antofagasta,Primera,23,2284.0,2021-04-06
Antofagasta,Primera,24,2572.0,2021-04-06
Antofagasta,Primera,25,2681.0,2021-04-06
Antofagasta,Primera,26,3021.0,2021-04-06
Antofagasta,Primera,27,3224.0,2021-04-06
Antofagasta,Primera,28,3381.0,2021-04-06
Antofagasta,Primera,29,3382.0,2021-04-06
Antofagasta,Primera,30,3578.0,2021-04-06
Antofagasta,Primera,31,3678.0,2021-04-06
Antofagasta,Primera,32,3555.0,2021-04-06
Antofagasta,Primera,33,3572.0,2021-04-06
Antofagasta,Primera,34,3365.0,2021-04-06
Antofagasta,Primera,35,3297.0,2021-04-06
Antofagasta,Primera,36,3246.0,2021-04-06
Antofagasta,Primera,37,3056.0,2021-04-06
Antofagasta,Primera,38,3253.0,2021-04-06
Antofagasta,Primera,39,3180.0,2021-04-06
Antofagasta,Primera,40,3130.0,2021-04-06
Antofagasta,Primera,41,3047.0,2021-04-06
Antofagasta,Primera,42,2899.0,2021-04-06
Antofagasta,Primera,43,2955.0,2021-04-06
Antofagasta,Primera,44,3076.0,2021-04-06
Antofagasta,Primera,45,3171.0,2021-04-06
Antofagasta,Primera,46,3141.0,2021-04-06
Antofagasta,Primera,47,3386.0,2021-04-06
Antofagasta,Primera,48,3341.0,2021-04-06
Antofagasta,Primera,49,3332.0,2021-04-06
Antofagasta,Primera,50,3695.0,2021-04-06
Antofagasta,Primera,51,4582.0,2021-04-06
Antofagasta,Primera,52,4884.0,2021-04-06
Antofagasta,Primera,53,4809.0,2021-04-06
Antofagasta,Primera,54,4951.0,2021-04-06
Antofagasta,Primera,55,5121.0,2021-04-06
Antofagasta,Primera,56,5233.0,2021-04-06
Antofagasta,Primera,57,5395.0,2021-04-06
Antofagasta,Primera,58,5401.0,2021-04-06
Antofagasta,Primera,59,5133.0,2021-04-06
Antofagasta,Primera,60,5394.0,2021-04-06
Antofagasta,Primera,61,4933.0,2021-04-06
Antofagasta,Primera,62,4704.0,2021-04-06
Antofagasta,Primera,63,4728.0,2021-04-06
Antofagasta,Primera,64,4430.0,2021-04-06
Antofagasta,Primera,65,4252.0,2021-04-06
Antofagasta,Primera,66,3868.0,2021-04-06
Antofagasta,Primera,67,3765.0,2021-04-06
Antofagasta,Primera,68,3462.0,2021-04-06
Antofagasta,Primera,69,3004.0,2021-04-06
Antofagasta,Primera,70,2907.0,2021-04-06
Antofagasta,Primera,71,2649.0,2021-04-06
Antofagasta,Primera,72,2417.0,2021-04-06
Antofagasta,Primera,73,2309.0,2021-04-06
Antofagasta,Primera,74,2080.0,2021-04-06
Antofagasta,Primera,75,1962.0,2021-04-06
Antofagasta,Primera,76,1830.0,2021-04-06
Antofagasta,Primera,77,1662.0,2021-04-06
Antofagasta,Primera,78,1573.0,2021-04-06
Antofagasta,Primera,79,1315.0,2021-04-06
Antofagasta,Primera,80,8906.0,2021-04-06
Antofagasta,Segunda,15,0.0,2021-04-06
