datetimes,Grupo de edad,dead,icu_total,icu_original,icu_gamma
2021-01-01,40-49,2.1632653061224487,2.4697992346486095,2.4697992346486095,0.0
2021-01-02,40-49,2.142857142857143,2.500602691711621,2.500602691711621,0.0
2021-01-03,40-49,2.4285714285714284,2.5333845886123765,2.5333845886123765,0.0
2021-01-04,40-49,2.5714285714285716,2.568306324462076,2.568306324462076,0.0
2021-01-05,40-49,3.0,2.605585971410291,2.605585971410291,0.0
2021-01-06,40-49,2.142857142857143,2.6455972056093944,2.6455972056093944,0.0
2021-01-07,40-49,2.142857142857143,2.6889031749878742,2.6889031749878742,0.0
2021-01-08,40-49,2.2857142857142856,2.736195610068736,2.736195610068736,0.0
2021-01-09,40-49,2.2857142857142856,2.7881562080514577,2.7881562080514577,0.0
2021-01-10,40-49,2.142857142857143,2.845296920062501,2.845296920062501,0.0
2021-01-11,40-49,2.0,2.9078379037419255,2.9078379037419255,0.0
2021-01-12,40-49,2.0,2.975659113371507,2.975659113371507,0.0
2021-01-13,40-49,2.142857142857143,3.0483347272098493,3.0483347272098493,0.0
2021-01-14,40-49,2.0,3.1252198695373767,3.1252198695373767,0.0
2021-01-15,40-49,1.8571428571428572,3.205566875108833,3.205566875108833,0.0
2021-01-16,40-49,1.7142857142857142,3.2886351112825882,3.2886351112825882,0.0
2021-01-17,40-49,1.2857142857142858,3.373772140710634,3.3737720451664934,9.554414076319731e-08
2021-01-18,40-49,1.1428571428571428,3.4604356039161566,3.460434646147923,9.577682337643833e-07
2021-01-19,40-49,0.7142857142857143,3.5481715394383153,3.548166484456225,5.054982090789394e-06
2021-01-20,40-49,1.2857142857142858,3.6365624850537026,3.636543788915116,1.8696138586463843e-05
2021-01-21,40-49,1.7142857142857142,3.7251813784684527,3.7251268348912117,5.454357724097236e-05
2021-01-22,40-49,2.0,3.813568874656714,3.8134349306630755,0.00013394399363933
2021-01-23,40-49,2.142857142857143,3.9012526391042033,3.9009642909161952,0.0002883481880075542
2021-01-24,40-49,2.857142857142857,3.9877798554183217,3.987220581530477,0.0005592738878435567
2021-01-25,40-49,3.142857142857143,4.072743728737127,4.071747031098237,0.0009966976388856186
2021-01-26,40-49,3.5714285714285716,4.155804260436986,4.154148047037061,0.0016562133999242154
2021-01-27,40-49,2.857142857142857,4.236680720255861,4.2340852949252605,0.0025954253305976865
2021-01-28,40-49,2.2857142857142856,4.3151310363993,4.311260985374223,0.0038700510250748357
2021-01-29,40-49,2.142857142857143,4.390916070533006,4.385385738584519,0.005530331948488508
2021-01-30,40-49,2.142857142857143,4.463785125397802,4.456166767055391,0.007618358342404217
2021-01-31,40-49,2.0,4.533465539215017,4.523298827819318,0.010166711395703156
2021-02-01,40-49,1.8571428571428572,4.599688333992284,4.586489834243203,0.013198499749076517
2021-02-02,40-49,2.2857142857142856,4.662182867162146,4.645454324855985,0.016728542306168177
2021-02-03,40-49,2.857142857142857,4.720725985103099,4.699960769492674,0.0207652156104264
2021-02-04,40-49,3.0,4.775173332028406,4.749860745462308,0.02531258656609782
2021-02-05,40-49,3.142857142857143,4.82548284742901,4.795110252979857,0.030372594449143822
2021-02-06,40-49,3.0,4.871725389392757,4.8357785455829925,0.03594684380975807
2021-02-07,40-49,3.0,4.914076767066844,4.872039398506083,0.04203736856075967
2021-02-08,40-49,3.4285714285714284,4.952789367001456,4.904143311909279,0.04864605509217237
2021-02-09,40-49,2.7142857142857144,4.988151443182334,4.932378343120745,0.055773100061593216
2021-02-10,40-49,2.5714285714285716,5.020446516941465,4.957031232231119,0.06341528471036016
2021-02-11,40-49,2.7142857142857144,5.049925187968765,4.978360263192255,0.07156492477650829
2021-02-12,40-49,2.4285714285714284,5.0767949539864645,4.996585007593461,0.08020994639299774
2021-02-13,40-49,2.4285714285714284,5.101223524246869,5.011888844748376,0.08933467949848949
2021-02-14,40-49,2.857142857142857,5.123346384708218,5.024425714192826,0.09892067051539645
2021-02-15,40-49,2.5714285714285716,5.143275201743853,5.034327749693826,0.10894745205003449
2021-02-16,40-49,3.0,5.1611106403021445,5.041716800075425,0.11939384022671924
2021-02-17,40-49,3.2857142857142856,5.176965921400692,5.046724411085106,0.1302415103155836
2021-02-18,40-49,3.2857142857142856,5.1910085753224315,5.049523690276817,0.14148488504560572
2021-02-19,40-49,3.2857142857142856,5.203520632716451,5.050369518587695,0.15315111412875437
2021-02-20,40-49,3.2857142857142856,5.214958767438529,5.049630058080469,0.16532870935805166
2021-02-21,40-49,2.7142857142857144,5.225988486096626,5.047790690779652,0.1781977953169699
2021-02-22,40-49,2.4285714285714284,5.237474644910105,5.045421530231308,0.19205311467880182
2021-02-23,40-49,1.7142857142857142,5.25043195899246,5.043118654214455,0.20731330477801022
2021-02-24,40-49,1.4285714285714286,5.26595982536306,5.041442908630937,0.22451691673212942
2021-02-25,40-49,1.2857142857142858,5.285199068377397,5.0408851389529,0.24431392942448993
2021-02-26,40-49,1.4285714285714286,5.309331808474905,5.041871664787109,0.267460143687796
2021-02-27,40-49,1.4285714285714286,5.339602995237312,5.044793245862039,0.294809749375267
2021-02-28,40-49,1.7142857142857142,5.377318830497849,5.050025173884012,0.32729365661383203
2021-03-01,40-49,1.7142857142857142,5.423790785767547,5.05791415319002,0.36587663257753156
2021-03-02,40-49,2.5714285714285716,5.480232246668796,5.068733930236417,0.4114983164323821
2021-03-03,40-49,3.0,5.547648432347865,5.082633112629901,0.4650153197179605
2021-03-04,40-49,3.4285714285714284,5.626777994258032,5.099608365850039,0.5271696284079902
2021-03-05,40-49,3.2857142857142856,5.718124249563446,5.119524470776118,0.5985997787873278
2021-03-06,40-49,3.2857142857142856,5.822055684138746,5.142171376013558,0.6798843081251813
2021-03-07,40-49,2.857142857142857,5.938910777501864,5.16732557073802,0.771585206763843
2021-03-08,40-49,3.2857142857142856,6.069045569358088,5.194783640035868,0.8742619293222221
2021-03-09,40-49,3.0,6.212805939809062,5.224358158749255,0.9884477810598269
2021-03-10,40-49,2.4285714285714284,6.370458973362637,5.255850624247629,1.1146083491150098
2021-03-11,40-49,2.5714285714285716,6.5421520295172195,5.289031505530801,1.2531205239864174
2021-03-12,40-49,2.5714285714285716,6.7279473882952905,5.323649253925977,1.4042981343693137
2021-03-13,40-49,2.5714285714285716,6.927910466000366,5.359461889847436,1.5684485761529332
2021-03-14,40-49,3.0,7.142181552778564,5.396265344622065,1.7459162081565012
2021-03-15,40-49,2.4285714285714284,7.370977666349048,5.433896768491257,1.9370808978577856
2021-03-16,40-49,2.5714285714285716,7.614529048868486,5.472213280074842,2.142315768793642
2021-03-17,40-49,3.0,7.872997270921575,5.511062858473993,2.3619344124475763
2021-03-18,40-49,4.714285714285714,8.146432442643757,5.550268297842447,2.596164144801311
