Grupo de edad,May,June,July,August,September,October,November,December
<=39,0.418,0.408,0.382,0.415,0.486,0.501,0.54,0.534
40-49,0.509,0.5,0.459,0.457,0.566,0.619,0.638,0.687
50-59,0.543,0.533,0.466,0.464,0.531,0.565,0.541,0.542
60-69,0.926,0.912,0.753,0.792,0.919,1.02,1.025,1.013
>=70,2.86,2.818,2.362,2.443,2.97,3.187,3.395,3.751
